Brand,Series,Price,Ram,Storage,Graphics,Processor
LENOVO,IdeaPad V15-IGL,32999.0,4.0,256.0, Intel UHD ,Intel Core i7
Dell,Wyse,34999.0,8.0,256.0, Intel UHD ,Intel Celeron
Acer,Aspire Series,34999.0,8.0,256.0,No,Intel Celeron
LENOVO,IdeaPad V15-IGL,36999.0,8.0,256.0, Intel UHD ,Intel Core i7
Acer,Aspire Series,45999.0,8.0,256.0, Intel ,Intel Core i3
Acer,Aspire Series,48999.0,8.0,512.0, AMD Radeon ,AMD Ryzen 3
Lenovo,IdeaPad Series,48999.0,8.0,512.0, Intel UHD ,Intel Core i3
Acer,Aspire Series,49999.0,8.0,256.0,No,Intel Core i3
Lenovo,IdeaPad Slim 3 Series,50000.0,8.0,256.0,No,AMD Ryzen 3
Hewlett-Packard (HP),Notebook,50999.0,8.0,256.0, Intel Iris Xe ,Intel Core i3
Dell,Vostro Series,50999.0,16.0,512.0, Intel UHD ,Intel Core i3
Acer,Aspire Series,50999.0,16.0,512.0, Intel UHD ,Intel Core i3
Acer,Aspire Series,52000.0,8.0,512.0, Intel UHD ,Intel Core i3
HP,Notebook,54999.0,8.0,512.0,No,Intel Core i7
Lenovo,IdeaPad Series (14IAU8),55000.0,8.0,512.0, Intel UHD ,Intel Core i3
Lenovo,V Series,56999.0,8.0,512.0, AMD Radeon 610M ,AMD Ryzen 5
Lenovo,IdeaPad Slim 3 Series,58499.0,8.0,512.0,No,AMD Ryzen 5
Lenovo,IdeaPad Series,58999.0,8.0,512.0, AMD Radeon 610M ,AMD Ryzen 5
Acer,Extensa Series,59000.0,8.0,512.0, AMD Radeon ,AMD Ryzen 5
Dell,Inspiron Series,60999.0,8.0,512.0, AMD Radeon 610M ,AMD Ryzen 5
HP,Notebook Series,60999.0,8.0,512.0,No,AMD Ryzen 5
Acer,Aspire Series,63499.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
Acer,Aspire Series,63799.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Acer,Aspire Series,64499.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
Acer,Aspire Series,65499.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
Acer,Aspire Series,67999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
LENOVO,V15 G3,67999.0,8.0,512.0, Integrated Intel UHD ,Intel Core i5
Lenovo,IdeaPad Series,67999.0,16.0,512.0,No,Intel Core i5
Lenovo,IdeaPad Series,67999.0,16.0,512.0, Intel ,Intel Core i5
Acer,Aspire Series,68499.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Lenovo,IdeaPad Series,68999.0,16.0,512.0, Intel UHD ,Intel Core i5
Acer,Aspire Series,69000.0,16.0,512.0, Intel UHD ,Intel Core i5
ACER,ASPIRE 5,69999.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
ACER,ASPIRE SERIES,71999.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
HP,Notebook Series,71999.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
Acer,Aspire Series,72000.0,16.0,512.0, ,AMD Ryzen
Acer,Aspire Series,73699.0,16.0,512.0, AMD Radeon ,Intel Core i5
Hewlett-Packard (HP),Notebook,74000.0,8.0,512.0, Intel Iris Xe ,Intel Core i5
Dell,Vostro Series,74999.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
ACER,IDEAPAD,75000.0,20.0,512.0, AMD Radeon ,AMD Ryzen 7
Acer,Aspire Series,75399.0,16.0,512.0, AMD Radeon ,Intel Core i5
ASUS,VivoBook,75999.0,8.0,512.0, AMD Radeon ,AMD Ryzen 5
LENOVO,ThinkBook Series,75999.0,8.0,512.0, Integrated Intel UHD ,Intel Core i5
Acer,Aspire Series,76999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Lenovo,Ideapad Series,77999.0,8.0,512.0, Intel ,Intel Core i7
Lenovo,IdeaPad Series,79999.0,16.0,512.0,No,Intel Core i5
ACER,SWIFT ,79999.0,8.0,512.0, AMD Radeon Vega 8 ,AMD Ryzen 7
Acer,Aspire Series,79999.0,8.0,512.0, Intel UHD ,Intel Core i7
Acer,Swift Series,79999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
HP,Business Series,80000.0,16.0,512.0, NVIDIA GeForce MX550 2GB ,Intel Core i5
Hewlett-Packard (HP),Pavilion,80999.0,8.0,512.0, Intel Iris Xe ,Intel Core i5
ASUS,VivoBook Go Series,81500.0,8.0,512.0, AMD Radeon ,AMD Ryzen 5
ASUS,VIVOBOOK,82000.0,16.0,512.0,No,i5
HP,Pavilion Plus Series,82499.0,16.0,512.0,No,AMD Ryzen 5
Lenovo,ThinkBook Series,83000.0,8.0,512.0, GeForce MX550 2GB Dedicated ,Intel Core i5
Acer,Aspire Series,83999.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,Intel Core i5
HP,Pavilion Series,84999.0,16.0,512.0,No,AMD Ryzen 7
Lenovo,IdeaPad Series,84999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Hewlett-Packard (HP),Notebook,85000.0,8.0,512.0, Intel Iris Xe ,Intel core i5
Acer,Aspire Lite Series,85000.0,16.0,512.0, Intel UHD ,Intel Core i5
Hewlett-Packard (HP),Envy,85000.0,8.0,512.0,No,Intel Core i5
ASUS,VivoBook Series,85999.0,16.0,512.0, Intel UHD ,Intel Core i5
Lenovo,IdeaPad Series,86999.0,16.0,512.0,No,Intel Core i7
HP,Pavilion Series,87000.0,8.0,512.0, Intel Iris Xe ,i5
Lenovo,IdeaPad Series,87999.0,16.0,512.0, AMD Radeon ,AMD Ryzen 7
Acer,Aspire Series,88999.0,16.0,512.0,No,Intel Core i7
ASUS,VivoBook Series,89000.0,8.0,512.0, Intel UHD ,Intel Core i5
Acer,Aspire Series,89499.0,8.0,512.0,No,Intel Core i7
HP,Victus Gaming Series,89499.0,8.0,512.0, AMD Radeon RX 6550M 4GB ,AMD Ryzen 5
ACER,Nitro V 15 Series,89999.0,16.0,512.0, NVIDIA RTX 2050 4GB ,Intel Core i5
Hewlett-Packard (HP),Envy,89999.0,8.0,512.0,No,Intel Core i7
ASUS,VivoBook,90000.0,8.0,512.0, Intel UHD ,Intel Core i5
Lenovo,LOQ 15IRH8 Series,90000.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,Intel Core i5
Lenovo,LOQ Series,91999.0,12.0,512.0, NVIDIA GeForce RTX 3050 6GB ,AMD Ryzen 5
Dell,Inspiron Series,91999.0,8.0,512.0, Intel ,Intel Core i7
Lenovo,IdeaPad Series,91999.0,16.0,512.0,No,Intel Core i7
HP,Victus,92000.0,8.0,512.0, NVIDIA RTX 2050 ,AMD Ryzen 5
Lenovo,Yoga Series,92999.0,8.0,512.0,No,AMD Ryzen 5
Lenovo,LOQ Series,92999.0,8.0,512.0, RTX 2050 ,Intel Core i5
ASUS,VivoBook,93000.0,8.0,512.0, AMD Radeon ,AMD Ryzen 7
ASUS,VivoBook Series,93499.0,16.0,512.0, Intel Iris Xe ,Intel Core i5
Acer,Nitro 5 Series,93999.0,16.0,512.0, RTX 2050 4GB ,Intel Core i5
Dell,Inspiron Series,94499.0,16.0,512.0, AMD Radeon ,AMD Ryzen 5
Acer,Aspire Series,94999.0,16.0,512.0, NVIDIA GeForce RTX 2050 4GB ,Intel Core i5
Dell,Gaming Series,94999.0,16.0,512.0, NVIDIA GeForce RTX 3050 4GB ,Intel Core i5
HP,Pavilion Series,94999.0,16.0,512.0, Intel ,Intel Core i5
HP,Pavilion Series,94999.0,16.0,512.0,No,AMD Ryzen 7
Dell,Vostro Series,94999.0,8.0,512.0, Intel ,Intel Core i7
