Brand,Series,Title,Price,Memory,Storage
LENOVO,IdeaPad V15-IGL,"Lenovo Ideapad 1-14IGL (Intel Core Celeron - N4020 Processor | 4GB RAM | 256GB SSD | Intel UHD Graphics 600 | 14"" HD Display)","रु 32,999.00",,
Dell,Wyse,Dell Wyse 5470 (Intel Celeron Processor | 8GB RAM | 256GB SSD Storage | Intel UHD Graphics | 14″ FHD Display),"रु 34,999.00",,
Acer,Aspire Series,"Acer Aspire 3 Slimbook (Intel Celeron N4500 Processor | 8GB RAM | 256GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 34,999.00",,
LENOVO,IdeaPad V15-IGL,"Lenovo V15-IGL 2021 (Intel Core Celeron - N4020 Processor | 8GB RAM | 256GB SSD | Intel UHD Graphics 600 | 15.6"" HD Display)","रु 36,999.00",,
Acer,Aspire Series,Acer Aspire 3 15 (Intel Core i3 1215U Processor | 8GB RAM | 256GB SSD | Intel Graphics | 15.6-inch FHD (1920 x 1080) Display | 1 Year Warranty),"रु 45,999.00",,
Acer,Aspire Series,"Acer Aspire 3 Slimbook (AMD Ryzen 3 7220U Processor | 8GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon Graphics | 1 Year Warranty)","रु 48,999.00",,
Lenovo,IdeaPad Series,"Lenovo IdeaPad Slim 3 15IAN8 (13th Generation Intel Core i3 N305 Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics | 15.6"" FHD (1920 x 1080) Anti-glare Display | Windows 11 Home | 1 Year Warranty)","रु 48,999.00",,
Acer,Aspire Series,"Acer Aspire Go 15 (13th Gen Intel Core i3-N305 Processor | 8GB RAM | 128+256GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 49,999.00",,
Lenovo,IdeaPad Slim 3 Series,"Lenovo IdeaPad Slim 3 15AMN8 (AMD Ryzen 3 7320U Processor | 8GB RAM | 256GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 50,000.00",,
Hewlett-Packard (HP),Notebook,"HP Notebook 14S (13th Gen Intel Core i3 - N305 Processor | 8GB RAM | 256GB SSD | Intel Iris Xe Graphics | 14"" FHD Display)","रु 50,999.00",,
Dell,Vostro Series,Dell Vostro 3520 (12th Gen Intel Core i3 1215U Processor | 8GB DDR4 RAM | 512GB NVMe SSD | Intel UHD Graphics | 15.6-inch FHD (1920 x 1080) Display | 1 Year Warranty),"रु 50,999.00",,
Acer,Aspire Series,[13th Generation] Acer Aspire Lite (Intel Core i3 N300 Processor | 8GB DDR5 RAM | 512GB NVMe Gen4 SSD | 14-inch WUXGA (1920 x 1200) Display | Intel UHD Graphics | Pure Silver Color | 1 Year Warranty),"रु 50,999.00",,
Acer,Aspire Series,Acer Aspire Lite 15 (Intel Core i3 1215U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 15.6-inch FHD (1920 x 1080) Display | 1 year Warranty),"रु 52,000.00",,
HP,Notebook,"2024's HP Laptop 14t-ep100 (14th Generation Intel Core 3 100U Processor | 8GB RAM | 512GB SSD Storage | 14"" FHD (1920 x 1080) IPS Display | Windows 11 Home | Backlit Keyboard | 1 Year Warranty)","रु 54,999.00",,
Lenovo,IdeaPad Series (14IAU8),Lenovo IdeaPad Slim 3 14IRU8 (13th Gen Intel Core i3 1305U Processor | 8GB RAM | 512GB SSD | Intel UHD Graphics Card | 14-inch FHD IPS Display | Fingerprint Reader | 1 Year Warranty),"रु 55,000.00",,
Lenovo,V Series,"Lenovo V15 G4 AMN (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | AMD Radeon 610M Graphics | 1 Year Warranty)","रु 56,999.00",,
Acer,,"Acer Aspire 3 A315 (AMD Ryzen 5 - 7520U Processor | 8GB RAM | 512GB SSD | AMD Radeon Graphics | 15.6"" FHD Display)","रु 57,999.00",,
Asus,,"Asus VivoBook 14 X415EA (Intel Core i3 - 1115G4 Processor | 4GB RAM | 256GB SSD | Intel UHD Graphics | 14"" FHD Display)","रु 58,000.00",,
Lenovo,IdeaPad Slim 3 Series,"Lenovo IdeaPad Slim 3 15AMN8 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) IPS Display | 1 Year Warranty)","रु 58,499.00",,
Lenovo,IdeaPad Series,Lenovo IdeaPad 1 15AMN7 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | AMD Radeon 610M Graphics Card | 15.6-inch FHD (1920 x 1080) IPS Display | 1 Year Warranty),"रु 58,999.00",,
Acer,Extensa Series,Acer Extensa 15 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 15.6-inch FHD Display | AMD Radeon Graphics Card | 1 Year Warranty),"रु 59,000.00",,
Dell,Inspiron Series,"Dell Inspiron 15 3535 (AMD Ryzen 5 7520U Processor | 8GB RAM | 512GB SSD | 15.6"" FHD (1920 x 1080) 120Hz IPS Display | AMD Radeon 610M Graphics Card | Genuine Windows 11 | 1 Year Warranty)","रु 60,999.00",,
